"","state","county_name","population","total_votes","proportion_democrat","tercile"
"231","COLORADO","CUSTER",NA,3586,0.310094813162298,1
"232","COLORADO","DELTA",NA,18968,0.310364824968368,1
"233","COLORADO","DENVER",NA,384911,0.813936208630047,-1
"234","COLORADO","DOLORES",NA,1430,0.238461538461538,1
"235","COLORADO","DOUGLAS",NA,225923,0.46322419585434,0
"236","COLORADO","EAGLE",NA,28480,0.652668539325843,-1
"237","COLORADO","EL PASO",NA,364769,0.443954941346441,1
"238","COLORADO","ELBERT",NA,18517,0.242479883350435,1
"239","COLORADO","FREMONT",NA,24886,0.296110262798361,1
"240","COLORADO","GARFIELD",NA,30144,0.511776804670913,0
"241","COLORADO","GILPIN",NA,4056,0.548076923076923,0
"242","COLORADO","GRAND",NA,9593,0.490983008443657,0
"243","COLORADO","GUNNISON",NA,10867,0.656298886537223,-1
"244","COLORADO","HINSDALE",NA,608,0.419407894736842,1
"245","COLORADO","HUERFANO",NA,4279,0.485160084131807,0
"246","COLORADO","JACKSON",NA,856,0.204439252336449,1
"247","COLORADO","JEFFERSON",NA,366813,0.59538784067086,-1
"248","COLORADO","KIOWA",NA,893,0.109742441209406,1
"249","COLORADO","KIT CARSON",NA,3806,0.173935890698896,1
"250","COLORADO","LA PLATA",NA,34781,0.59078232368247,-1
"251","COLORADO","LAKE",NA,3800,0.606052631578947,-1
"252","COLORADO","LARIMER",NA,217609,0.579571616982754,-1
"253","COLORADO","LAS ANIMAS",NA,7781,0.449428094075312,1
"254","COLORADO","LINCOLN",NA,2605,0.18042226487524,1
"255","COLORADO","LOGAN",NA,10305,0.215235322658903,1
"256","COLORADO","MESA",NA,88430,0.356621056202646,1
"257","COLORADO","MINERAL",NA,744,0.426075268817204,1
"258","COLORADO","MOFFAT",NA,6873,0.175032736796159,1
"259","COLORADO","MONTEZUMA",NA,15142,0.385418042530709,1
"260","COLORADO","MONTROSE",NA,24457,0.314306742445925,1
"261","COLORADO","MORGAN",NA,13469,0.287771920706808,1
"262","COLORADO","OTERO",NA,9361,0.385108428586689,1
"263","COLORADO","OURAY",NA,3942,0.599949264332826,-1
"264","COLORADO","PARK",NA,11894,0.41222465108458,1
"265","COLORADO","PHILLIPS",NA,2444,0.198854337152209,1
"266","COLORADO","PITKIN",NA,11769,0.763786218030419,-1
"267","COLORADO","PROWERS",NA,5466,0.266739846322722,1
"268","COLORADO","PUEBLO",NA,86024,0.50883474379243,0
"269","COLORADO","RIO BLANCO",NA,3622,0.154886802871342,1
"270","COLORADO","RIO GRANDE",NA,6155,0.40536149471974,1
"271","COLORADO","ROUTT",NA,16507,0.641061367904525,-1
"272","COLORADO","SAGUACHE",NA,3297,0.571428571428571,-1
"273","COLORADO","SAN JUAN",NA,544,0.628676470588235,-1
"274","COLORADO","SAN MIGUEL",NA,5060,0.775494071146245,-1
"275","COLORADO","SEDGWICK",NA,1422,0.211673699015471,1
"276","COLORADO","SUMMIT",NA,17953,0.703559293711357,-1
"277","COLORADO","TELLER",NA,16519,0.319510866275198,1
"278","COLORADO","WASHINGTON",NA,2964,0.124493927125506,1
"279","COLORADO","WELD",NA,162205,0.407262414845412,1
"280","COLORADO","YUMA",NA,4892,0.160466067048242,1
"281","CONNECTICUT","FAIRFIELD",NA,465950,0.638491254426441,-1
"282","CONNECTICUT","HARTFORD",NA,442392,0.640535995225954,-1
"283","CONNECTICUT","LITCHFIELD",NA,105765,0.47429679005342,0
"284","CONNECTICUT","MIDDLESEX",NA,97513,0.582978679765775,-1
"285","CONNECTICUT","NEW HAVEN",NA,412521,0.588161572380558,-1
"286","CONNECTICUT","NEW LONDON",NA,136569,0.581823107733087,-1
"287","CONNECTICUT","TOLLAND",NA,78825,0.558274659054868,-1
"288","CONNECTICUT","WINDHAM",NA,55842,0.478152644962573,0
"289","DELAWARE","KENT",NA,85561,0.520704526595061,0
"290","DELAWARE","NEW CASTLE",NA,283398,0.688198222993811,-1
"291","DELAWARE","SUSSEX",NA,127912,0.443132778785415,1
"292","DISTRICT OF COLUMBIA","DISTRICT OF COLUMBIA",NA,335909,0.944669538476194,-1
"293","FLORIDA","ALACHUA",NA,140676,0.637663851687566,-1
"294","FLORIDA","BAKER",NA,13948,0.146042443361055,1
