"","state_lower","zipcode","county"
"227","massachusetts","01242","Berkshire"
"228","massachusetts","01243","Hampshire"
"229","massachusetts","01244","Berkshire"
"230","massachusetts","01245","Berkshire"
"231","massachusetts","01247","Berkshire"
"232","massachusetts","01253","Berkshire"
"233","massachusetts","01254","Berkshire"
"234","massachusetts","01255","Berkshire"
"235","massachusetts","01256","Berkshire"
"236","massachusetts","01257","Berkshire"
"237","massachusetts","01258","Berkshire"
"238","massachusetts","01259","Berkshire"
"239","massachusetts","01260","Berkshire"
"240","massachusetts","01262","Berkshire"
"241","massachusetts","01264","Berkshire"
"242","massachusetts","01266","Berkshire"
"243","massachusetts","01267","Berkshire"
"244","massachusetts","01270","Berkshire"
"245","massachusetts","01301","Franklin"
"246","massachusetts","01330","Franklin"
"247","massachusetts","01331","Worcester"
"248","massachusetts","01337","Franklin"
"249","massachusetts","01338","Franklin"
"250","massachusetts","01339","Franklin"
"251","massachusetts","01340","Franklin"
"252","massachusetts","01341","Franklin"
"253","massachusetts","01342","Franklin"
"254","massachusetts","01343","Berkshire"
"255","massachusetts","01344","Franklin"
"256","massachusetts","01346","Franklin"
"257","massachusetts","01347","Franklin"
"258","massachusetts","01349","Franklin"
"259","massachusetts","01350","Franklin"
"260","massachusetts","01351","Franklin"
"261","massachusetts","01354","Franklin"
"262","massachusetts","01355","Franklin"
"263","massachusetts","01360","Franklin"
"264","massachusetts","01364","Franklin"
"265","massachusetts","01366","Worcester"
"266","massachusetts","01367","Franklin"
"267","massachusetts","01368","Worcester"
"268","massachusetts","01370","Franklin"
"269","massachusetts","01373","Franklin"
"270","massachusetts","01375","Franklin"
"271","massachusetts","01376","Franklin"
"272","massachusetts","01378","Franklin"
"273","massachusetts","01379","Franklin"
"274","massachusetts","01380","Franklin"
"275","massachusetts","01420","Worcester"
"276","massachusetts","01430","Worcester"
"277","massachusetts","01431","Middlesex"
"278","massachusetts","01432","Middlesex"
"279","massachusetts","01434","Worcester"
"280","massachusetts","01436","Worcester"
"281","massachusetts","01438","Worcester"
"282","massachusetts","01440","Worcester"
"283","massachusetts","01450","Middlesex"
"284","massachusetts","01451","Worcester"
"285","massachusetts","01452","Worcester"
"286","massachusetts","01453","Worcester"
"287","massachusetts","01460","Middlesex"
"288","massachusetts","01462","Worcester"
"289","massachusetts","01463","Middlesex"
"290","massachusetts","01464","Middlesex"
"291","massachusetts","01468","Worcester"
"292","massachusetts","01469","Middlesex"
"293","massachusetts","01473","Worcester"
"294","massachusetts","01474","Middlesex"
"295","massachusetts","01475","Worcester"
"296","massachusetts","01501","Worcester"
"297","massachusetts","01503","Worcester"
"298","massachusetts","01504","Worcester"
"299","massachusetts","01505","Worcester"
"300","massachusetts","01506","Worcester"
"301","massachusetts","01507","Worcester"
"302","massachusetts","01510","Worcester"
"303","massachusetts","01515","Worcester"
"304","massachusetts","01516","Worcester"
"305","massachusetts","01518","Worcester"
"306","massachusetts","01519","Worcester"
"307","massachusetts","01520","Worcester"
"308","massachusetts","01521","Hampden"
"309","massachusetts","01522","Worcester"
"310","massachusetts","01523","Worcester"
"311","massachusetts","01524","Worcester"
"312","massachusetts","01525","Worcester"
"313","massachusetts","01527","Worcester"
"314","massachusetts","01529","Worcester"
"315","massachusetts","01531","Worcester"
"316","massachusetts","01532","Worcester"
"317","massachusetts","01534","Worcester"
"318","massachusetts","01535","Worcester"
"319","massachusetts","01536","Worcester"
"320","massachusetts","01537","Worcester"
"321","massachusetts","01540","Worcester"
"322","massachusetts","01541","Worcester"
"323","massachusetts","01542","Worcester"
"324","massachusetts","01543","Worcester"
"325","massachusetts","01545","Worcester"
"326","massachusetts","01550","Worcester"
"327","massachusetts","01560","Worcester"
"328","massachusetts","01561","Worcester"
"329","massachusetts","01562","Worcester"
"330","massachusetts","01564","Worcester"
"331","massachusetts","01566","Worcester"
"332","massachusetts","01568","Worcester"
"333","massachusetts","01569","Worcester"
"334","massachusetts","01570","Worcester"
"335","massachusetts","01571","Worcester"
"336","massachusetts","01581","Worcester"
"337","massachusetts","01583","Worcester"
"338","massachusetts","01585","Worcester"
"339","massachusetts","01588","Worcester"
"340","massachusetts","01590","Worcester"
"341","massachusetts","01602","Worcester"
"342","massachusetts","01603","Worcester"
"343","massachusetts","01604","Worcester"
"344","massachusetts","01605","Worcester"
"345","massachusetts","01606","Worcester"
"346","massachusetts","01607","Worcester"
"347","massachusetts","01608","Worcester"
"348","massachusetts","01609","Worcester"
"349","massachusetts","01610","Worcester"
"350","massachusetts","01611","Worcester"
"351","massachusetts","01612","Worcester"
"352","massachusetts","01701","Middlesex"
"353","massachusetts","01702","Middlesex"
"354","massachusetts","01718","Middlesex"
"355","massachusetts","01719","Middlesex"
"356","massachusetts","01720","Middlesex"
"357","massachusetts","01721","Middlesex"
"358","massachusetts","01730","Middlesex"
"359","massachusetts","01731","Middlesex"
"360","massachusetts","01740","Worcester"
"361","massachusetts","01741","Middlesex"
"362","massachusetts","01742","Middlesex"
"363","massachusetts","01745","Worcester"
"364","massachusetts","01746","Middlesex"
"365","massachusetts","01747","Worcester"
"366","massachusetts","01748","Middlesex"
"367","massachusetts","01749","Middlesex"
"368","massachusetts","01752","Middlesex"
"369","massachusetts","01754","Middlesex"
"370","massachusetts","01756","Worcester"
"371","massachusetts","01757","Worcester"
"372","massachusetts","01760","Middlesex"
"373","massachusetts","01770","Middlesex"
